"Symbol","Description","Sector","Industry","Same Sub-Industry As","Exchange","Price","Average Volume (10 Day)"
"VIR","Vir Biotechnology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.41","1,244,570"
"THRD","Third Harmonic Bio Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$5.43","225,170"
"CVAC","CureVac NV","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.45","988,560"
"AGEN","Agenus Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.51","1,195,740"
"SLN","Silence Therapeutics PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.52","119,190"
"CRVO","CervoMed Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.56","178,200"
"MYGN","Myriad Genetics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.60","1,535,510"
"FGEN","FibroGen Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.61","61,290"
"CCM","Concord Medical Services Holdings Ltd","Health Care","Health Care Providers & Services","Health Care Services","NYS","$5.62","2,360"
"PBM","Psyence Biomedical Ltd","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.65","38,890"
"STSS","Sharps Technology Inc","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$5.70","225,290"
"TNGX","Tango Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.70","3,503,890"
"IMTX","Immatics NV","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.71","754,200"
"TENX","Tenax Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.74","71,540"
"COYA","Coya Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.78","68,760"
"ATXS","Astria Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.81","374,290"
"VALN","Valneva SE","Health Care","Biotechnology","Biotechnology","NASDAQ","$5.81","11,010"
