date,open,high,low,close,volume,average,barCount
2025-10-08 06:18:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:19:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:20:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:21:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:22:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2025-10-08 06:23:00-04:00,4.53,4.53,4.52,4.52,1990.0,4.52095,2
2025-10-08 06:24:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:25:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:26:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:27:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:28:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:29:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:30:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:31:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:32:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:33:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:34:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:35:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:36:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:37:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:38:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:39:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:40:00-04:00,4.51,4.51,4.5,4.5,1609.0,4.50767,10
2025-10-08 06:41:00-04:00,4.5,4.5,4.5,4.5,0.0,4.5,0
2025-10-08 06:42:00-04:00,4.5,4.5,4.5,4.5,0.0,4.5,0
2025-10-08 06:43:00-04:00,4.5,4.5,4.5,4.5,0.0,4.5,0
2025-10-08 06:44:00-04:00,4.5,4.5,4.5,4.5,0.0,4.5,0
2025-10-08 06:45:00-04:00,4.5,4.5,4.5,4.5,0.0,4.5,0
2025-10-08 06:46:00-04:00,4.48,4.48,4.48,4.48,125.0,4.48,1
2025-10-08 06:47:00-04:00,4.48,4.48,4.48,4.48,0.0,4.48,0
2025-10-08 06:48:00-04:00,4.48,4.48,4.48,4.48,0.0,4.48,0
2025-10-08 06:49:00-04:00,4.48,4.48,4.48,4.48,0.0,4.48,0
2025-10-08 06:50:00-04:00,4.48,4.48,4.48,4.48,0.0,4.48,0
2025-10-08 06:51:00-04:00,4.48,4.48,4.48,4.48,0.0,4.48,0
2025-10-08 06:52:00-04:00,4.48,4.48,4.48,4.48,0.0,4.48,0
2025-10-08 06:53:00-04:00,4.49,4.545,4.49,4.545,1636.0,4.50632,10
2025-10-08 06:54:00-04:00,4.57,4.57,4.57,4.57,241.0,4.57,1
2025-10-08 06:55:00-04:00,4.52,4.52,4.52,4.52,120.0,4.52,1
2025-10-08 06:56:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:57:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:58:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 06:59:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:00:00-04:00,4.51,4.54,4.51,4.52,3025.0,4.51736,17
2025-10-08 07:01:00-04:00,4.53,4.53,4.53,4.53,1000.0,4.53,9
2025-10-08 07:02:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:03:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:04:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:05:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:06:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:07:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:08:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:09:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:10:00-04:00,4.54,4.54,4.54,4.54,625.0,4.54,2
2025-10-08 07:11:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:12:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:13:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:14:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:15:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:16:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:17:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:18:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:19:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:20:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:21:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:22:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:23:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:24:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 07:25:00-04:00,4.53,4.53,4.53,4.53,898.0,4.53,2
2025-10-08 07:26:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:27:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:28:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:29:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:30:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:31:00-04:00,4.53,4.53,4.53,4.53,0.0,4.53,0
2025-10-08 07:32:00-04:00,4.52,4.52,4.52,4.52,131.0,4.52,1
2025-10-08 07:33:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:34:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:35:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:36:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:37:00-04:00,4.52,4.52,4.52,4.52,120.0,4.52,1
2025-10-08 07:38:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:39:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:40:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:41:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:42:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:43:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:44:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:45:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:46:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:47:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:48:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:49:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:50:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:51:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:52:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:53:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:54:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:55:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:56:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:57:00-04:00,4.52,4.52,4.52,4.52,0.0,4.52,0
2025-10-08 07:58:00-04:00,4.54,4.54,4.54,4.54,3000.0,4.54,2
2025-10-08 07:59:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 08:00:00-04:00,4.5394,4.58,4.41,4.54,37603.0,4.53121,32
2025-10-08 08:01:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 08:02:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 08:03:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 08:04:00-04:00,4.54,4.54,4.54,4.54,500.0,4.54,1
2025-10-08 08:05:00-04:00,4.54,4.54,4.54,4.54,200.0,4.54,2
2025-10-08 08:06:00-04:00,4.54,4.54,4.54,4.54,1000.0,4.54,1
2025-10-08 08:07:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 08:08:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 08:09:00-04:00,4.54,4.54,4.54,4.54,500.0,4.54,4
2025-10-08 08:10:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 08:11:00-04:00,4.54,4.54,4.54,4.54,0.0,4.54,0
2025-10-08 08:12:00-04:00,4.55,4.55,4.55,4.55,1000.0,4.55,1
2025-10-08 08:13:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:14:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:15:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:16:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:17:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:18:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:19:00-04:00,4.55,4.55,4.55,4.55,100.0,4.55,1
2025-10-08 08:20:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:21:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:22:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:23:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:24:00-04:00,4.55,4.55,4.55,4.55,0.0,4.55,0
2025-10-08 08:25:00-04:00,4.56,4.5795,4.56,4.5795,1100.0,4.56355,2
2025-10-08 08:26:00-04:00,4.58,4.58,4.58,4.58,500.0,4.58,1
2025-10-08 08:27:00-04:00,4.57,4.57,4.57,4.57,500.0,4.57,2
2025-10-08 08:28:00-04:00,4.58,4.58,4.57,4.57,11102.0,4.57982,3
2025-10-08 08:29:00-04:00,4.5699,4.5699,4.5699,4.5699,200.0,4.5699,1
2025-10-08 08:30:00-04:00,4.5699,4.5699,4.5699,4.5699,0.0,4.5699,0
2025-10-08 08:31:00-04:00,4.5699,4.5699,4.5699,4.5699,0.0,4.5699,0
2025-10-08 08:32:00-04:00,4.5699,4.5699,4.5699,4.5699,0.0,4.5699,0
2025-10-08 08:33:00-04:00,4.55,4.55,4.55,4.55,500.0,4.55,2
2025-10-08 08:34:00-04:00,4.5692,4.5692,4.5692,4.5692,100.0,4.5692,1
2025-10-08 08:35:00-04:00,4.5692,4.5692,4.5692,4.5692,500.0,4.5692,1
2025-10-08 08:36:00-04:00,4.5692,4.5692,4.5692,4.5692,0.0,4.5692,0
2025-10-08 08:37:00-04:00,4.5692,4.5692,4.5692,4.5692,0.0,4.5692,0
2025-10-08 08:38:00-04:00,4.5692,4.5692,4.5692,4.5692,0.0,4.5692,0
2025-10-08 08:39:00-04:00,4.5692,4.5692,4.5692,4.5692,0.0,4.5692,0
2025-10-08 08:40:00-04:00,4.55,4.55,4.54,4.54,403.0,4.54504,4
